Controller,Avg Reward,Avg Cost,Avg Energy Bought,Avg Energy Sold,Avg Battery SoC
Rule-Based,-18.90580109905983,18.90580109905983,1123.6929742897066,847.9945428685105,3.1445448
Forecast,-18.650568552428684,18.650568552428684,1131.6964841835068,831.7180653205629,1.265679
Q-Learning,-20.85981033550142,20.85981033550142,1117.9720650500851,826.5365339746013,2.5325077
Monte-Carlo,-9.437201877018168,9.437201877018168,1125.2295564837716,884.3469468558178,3.8357193
RL,-37.81758356165722,37.81758356165722,1140.909845741914,735.8871357003469,8.08985
